Documents ID;Automaton Time (µs);Automaton Memory;Result
basicTypes.json-invalid-1121.json;144;0;true
basicTypes.json-invalid-1122.json;97;0;true
basicTypes.json-invalid-1123.json;96;0;true
basicTypes.json-invalid-1124.json;92;0;true
basicTypes.json-invalid-1125.json;116;39;true
basicTypes.json-invalid-1126.json;118;0;true
basicTypes.json-invalid-1127.json;98;0;true
basicTypes.json-invalid-1128.json;108;0;true
basicTypes.json-invalid-1129.json;106;0;true
basicTypes.json-invalid-113.json;116;0;true
basicTypes.json-invalid-1130.json;102;0;true
basicTypes.json-invalid-1131.json;157;0;true
basicTypes.json-invalid-1132.json;118;0;true
basicTypes.json-invalid-1133.json;87;0;true
basicTypes.json-invalid-1134.json;126;0;true
basicTypes.json-invalid-1135.json;122;0;true
basicTypes.json-invalid-1136.json;168;0;true
basicTypes.json-invalid-1137.json;220;0;true
basicTypes.json-invalid-1138.json;143;492;true
basicTypes.json-invalid-1139.json;106;0;true
basicTypes.json-invalid-114.json;116;0;true
basicTypes.json-invalid-1140.json;141;0;true
basicTypes.json-invalid-1141.json;130;0;true
basicTypes.json-invalid-1142.json;170;0;true
basicTypes.json-invalid-1143.json;108;0;true
basicTypes.json-invalid-1144.json;228;0;true
basicTypes.json-invalid-1145.json;331;0;true
basicTypes.json-invalid-1146.json;186;0;true
basicTypes.json-invalid-1147.json;159;0;true
basicTypes.json-invalid-1148.json;117;0;true
basicTypes.json-invalid-1149.json;236;0;true
basicTypes.json-invalid-115.json;233;39;true
basicTypes.json-invalid-1150.json;184;493;true
basicTypes.json-invalid-1151.json;101;0;true
basicTypes.json-invalid-1152.json;184;0;true
basicTypes.json-invalid-1153.json;163;0;true
basicTypes.json-invalid-1154.json;104;0;true
basicTypes.json-invalid-1155.json;91;0;true
basicTypes.json-invalid-1156.json;132;0;true
basicTypes.json-invalid-1157.json;109;0;true
basicTypes.json-invalid-1158.json;270;0;true
basicTypes.json-invalid-1159.json;85;0;true
basicTypes.json-invalid-116.json;816;0;true
basicTypes.json-invalid-1160.json;93;0;true
basicTypes.json-invalid-1161.json;199;492;true
basicTypes.json-invalid-1162.json;334;0;true
basicTypes.json-invalid-1163.json;108;0;true
